"Time","latency-50-percentile","latency-95-percentile","latency-99-percentile"
2023-04-18 14:35:00,532 ms,3.91 s,4.78 s
2023-04-18 14:35:05,483 ms,3.92 s,4.78 s
2023-04-18 14:35:10,486 ms,3.98 s,4.80 s
2023-04-18 14:35:15,492 ms,4.14 s,4.97 s
2023-04-18 14:35:20,606 ms,4.40 s,6.95 s
2023-04-18 14:35:25,517 ms,4.32 s,6.95 s
2023-04-18 14:35:30,534 ms,4.29 s,7.00 s
2023-04-18 14:35:35,543 ms,4.28 s,6.98 s
2023-04-18 14:35:40,536 ms,4.32 s,6.95 s
2023-04-18 14:35:45,617 ms,4.38 s,7 s
2023-04-18 14:35:50,617 ms,4.35 s,6.93 s
2023-04-18 14:35:55,577 ms,4.36 s,7.20 s
2023-04-18 14:36:00,615 ms,4.42 s,7.38 s
2023-04-18 14:36:05,625 ms,4.45 s,7.58 s
2023-04-18 14:36:10,595 ms,4.25 s,5.40 s
2023-04-18 14:36:15,461 ms,3.89 s,4.78 s
2023-04-18 14:36:20,461 ms,3.73 s,4.75 s
2023-04-18 14:36:25,423 ms,3.67 s,4.73 s
2023-04-18 14:36:30,354 ms,3.31 s,4.66 s
2023-04-18 14:36:35,319 ms,3.21 s,4.64 s
2023-04-18 14:36:40,241 ms,2.69 s,4.54 s
2023-04-18 14:36:45,194 ms,1.97 s,4.32 s
2023-04-18 14:36:50,212 ms,1.90 s,4.30 s
2023-04-18 14:36:55,262 ms,2.24 s,4.32 s
2023-04-18 14:37:00,212 ms,2.24 s,4.32 s
2023-04-18 14:37:05,212 ms,1.82 s,2.36 s
2023-04-18 14:37:10,213 ms,1.99 s,2.40 s
2023-04-18 14:37:15,212 ms,2.09 s,2.42 s
2023-04-18 14:37:20,212 ms,2.09 s,2.42 s
2023-04-18 14:37:25,212 ms,2.21 s,2.44 s
2023-04-18 14:37:30,200 ms,2.20 s,2.44 s
2023-04-18 14:37:35,156 ms,2.21 s,2.44 s
2023-04-18 14:37:40,160 ms,2.20 s,2.44 s
2023-04-18 14:37:45,137 ms,2.16 s,2.43 s
2023-04-18 14:37:50,137 ms,2.16 s,2.43 s
2023-04-18 14:37:55,164 ms,2.15 s,2.43 s
2023-04-18 14:38:00,154 ms,2.09 s,2.42 s
2023-04-18 14:38:05,154 ms,1.99 s,2.40 s
2023-04-18 14:38:10,143 ms,2.01 s,2.40 s
2023-04-18 14:38:15,150 ms,2.11 s,2.42 s
2023-04-18 14:38:20,137 ms,2.03 s,2.41 s
2023-04-18 14:38:25,130 ms,2.05 s,2.41 s
2023-04-18 14:38:30,137 ms,2.05 s,2.41 s
2023-04-18 14:38:35,119 ms,2.07 s,2.41 s
2023-04-18 14:38:40,125 ms,2.07 s,2.41 s
2023-04-18 14:38:45,125 ms,1.92 s,2.39 s
2023-04-18 14:38:50,5.00 ms,1.95 s,2.39 s
2023-04-18 14:38:55,5 ms,1.95 s,2.39 s
2023-04-18 14:39:00,5.00 ms,1.95 s,2.39 s
2023-04-18 14:39:05,5.00 ms,1.67 s,2.34 s
2023-04-18 14:39:10,5 ms,983 ms,2.17 s
2023-04-18 14:39:15,5 ms,817 ms,963 ms
2023-04-18 14:39:20,5 ms,817 ms,963 ms
2023-04-18 14:39:25,5 ms,817 ms,963 ms
2023-04-18 14:39:30,5 ms,862 ms,972 ms
2023-04-18 14:39:35,5 ms,817 ms,963 ms
2023-04-18 14:39:40,5 ms,817 ms,963 ms
2023-04-18 14:39:45,5 ms,817 ms,963 ms
2023-04-18 14:39:50,4.77 ms,738 ms,948 ms
2023-04-18 14:39:55,4.77 ms,987 ms,4.47 s
2023-04-18 14:40:00,4.77 ms,3.69 s,4.74 s
2023-04-18 14:40:05,4.77 ms,3.69 s,4.74 s
2023-04-18 14:40:10,4.77 ms,4.13 s,4.82 s
2023-04-18 14:40:15,4.77 ms,4.13 s,4.82 s
2023-04-18 14:40:20,4.77 ms,4.34 s,4.87 s
2023-04-18 14:40:25,4.77 ms,4.34 s,4.87 s
2023-04-18 14:40:30,4.77 ms,4.34 s,4.87 s
2023-04-18 14:40:35,5.00 ms,4.45 s,4.89 s
2023-04-18 14:40:40,175 ms,4.42 s,4.89 s
2023-04-18 14:40:45,275 ms,4.37 s,4.87 s
2023-04-18 14:40:50,292 ms,4.19 s,4.84 s
2023-04-18 14:40:55,250 ms,3.83 s,4.77 s
2023-04-18 14:41:00,268 ms,4.09 s,4.82 s
2023-04-18 14:41:05,250 ms,3.75 s,4.75 s
2023-04-18 14:41:10,250 ms,3.67 s,4.73 s
2023-04-18 14:41:15,238 ms,2.94 s,4.59 s
2023-04-18 14:41:20,229 ms,2.88 s,4.58 s
2023-04-18 14:41:25,231 ms,2.75 s,4.55 s
2023-04-18 14:41:30,250 ms,2.20 s,4.10 s
2023-04-18 14:41:35,231 ms,2.20 s,4.10 s
2023-04-18 14:41:40,225 ms,2.07 s,4.07 s
2023-04-18 14:41:45,225 ms,1.86 s,4.08 s
2023-04-18 14:41:50,250 ms,1.90 s,4.10 s
2023-04-18 14:41:55,250 ms,1.15 s,2.23 s
2023-04-18 14:42:00,231 ms,1.15 s,2.23 s
2023-04-18 14:42:05,239 ms,1.19 s,2.24 s
2023-04-18 14:42:10,250 ms,1.60 s,2.32 s
2023-04-18 14:42:15,231 ms,1.60 s,2.32 s
2023-04-18 14:42:20,231 ms,1.60 s,2.32 s
2023-04-18 14:42:25,217 ms,1.15 s,2.23 s
2023-04-18 14:42:30,231 ms,1.60 s,2.32 s
2023-04-18 14:42:35,231 ms,1.60 s,2.32 s
2023-04-18 14:42:40,231 ms,1.83 s,2.37 s
2023-04-18 14:42:45,217 ms,1.83 s,2.37 s
2023-04-18 14:42:50,212 ms,1.94 s,2.39 s
2023-04-18 14:42:55,241 ms,1.94 s,2.39 s
2023-04-18 14:43:00,225 ms,1.81 s,2.36 s
2023-04-18 14:43:05,217 ms,1.60 s,2.32 s
2023-04-18 14:43:10,250 ms,1.83 s,2.37 s
2023-04-18 14:43:15,250 ms,1.96 s,2.39 s
2023-04-18 14:43:20,239 ms,1.97 s,2.40 s
2023-04-18 14:43:25,241 ms,2.18 s,4.07 s
2023-04-18 14:43:30,250 ms,2.26 s,4.10 s
2023-04-18 14:43:35,231 ms,2.20 s,4.10 s
2023-04-18 14:43:40,241 ms,2.18 s,4.07 s
2023-04-18 14:43:45,250 ms,2.10 s,4.10 s
2023-04-18 14:43:50,231 ms,2.10 s,4.10 s
2023-04-18 14:43:55,250 ms,2.26 s,4.10 s
2023-04-18 14:44:00,261 ms,2.24 s,4.07 s
2023-04-18 14:44:05,241 ms,2.69 s,4.54 s
2023-04-18 14:44:10,250 ms,2.75 s,4.55 s
2023-04-18 14:44:15,292 ms,2.63 s,4.53 s
2023-04-18 14:44:20,261 ms,2.12 s,4.12 s
2023-04-18 14:44:25,273 ms,2.10 s,4.10 s
2023-04-18 14:44:30,284 ms,2.12 s,4.13 s
2023-04-18 14:44:35,318 ms,2.75 s,4.55 s
2023-04-18 14:44:40,295 ms,2.75 s,4.55 s
2023-04-18 14:44:45,313 ms,2.75 s,4.55 s
2023-04-18 14:44:50,279 ms,2.69 s,4.54 s
2023-04-18 14:44:55,273 ms,2.75 s,4.55 s
2023-04-18 14:45:00,250 ms,1.90 s,4.10 s
2023-04-18 14:45:05,233 ms,1.83 s,4.05 s
2023-04-18 14:45:10,250 ms,2.50 s,4.50 s
2023-04-18 14:45:15,462 ms,4.87 s,8.63 s
2023-04-18 14:45:20,1000 ms,6.00 s,10 s
2023-04-18 14:45:25,2.50 s,7.10 s,10 s
2023-04-18 14:45:30,2.91 s,8 s,10 s
2023-04-18 14:45:35,3.20 s,9.77 s,10 s
2023-04-18 14:45:40,3.32 s,9.59 s,10 s
2023-04-18 14:45:45,3.51 s,10 s,10 s
2023-04-18 14:45:50,3.59 s,10 s,10 s
2023-04-18 14:45:55,3.53 s,10 s,10 s
2023-04-18 14:46:00,3.52 s,10 s,10 s
2023-04-18 14:46:05,3.59 s,10 s,10 s
2023-04-18 14:46:10,3.59 s,10 s,10 s
2023-04-18 14:46:15,3.59 s,10 s,10 s
2023-04-18 14:46:20,3.51 s,10 s,10 s
2023-04-18 14:46:25,3.51 s,10 s,10 s
2023-04-18 14:46:30,3.45 s,9.35 s,10 s
2023-04-18 14:46:35,3.50 s,9.85 s,10 s
2023-04-18 14:46:40,3.46 s,9.27 s,10 s
2023-04-18 14:46:45,3.38 s,8.94 s,10 s
2023-04-18 14:46:50,3.44 s,8.97 s,10 s
2023-04-18 14:46:55,3.46 s,9.06 s,10 s
2023-04-18 14:47:00,3.38 s,9.07 s,10 s
2023-04-18 14:47:05,3.24 s,9.21 s,10 s
2023-04-18 14:47:10,3.04 s,8.65 s,10 s
2023-04-18 14:47:15,3.10 s,8.72 s,10 s
2023-04-18 14:47:20,2.76 s,8.61 s,10 s
2023-04-18 14:47:25,1.37 s,9.00 s,10 s
2023-04-18 14:47:30,413 ms,7.35 s,9.47 s
2023-04-18 14:47:35,312 ms,3.62 s,4.72 s
2023-04-18 14:47:40,302 ms,3.87 s,4.78 s
2023-04-18 14:47:45,281 ms,3.59 s,4.72 s
2023-04-18 14:47:50,244 ms,3.13 s,4.63 s
2023-04-18 14:47:55,250 ms,3.17 s,4.63 s
2023-04-18 14:48:00,244 ms,3.12 s,4.63 s
2023-04-18 14:48:05,244 ms,3.13 s,4.63 s
2023-04-18 14:48:10,244 ms,2.31 s,4.44 s
2023-04-18 14:48:15,250 ms,2.35 s,4.45 s
2023-04-18 14:48:20,258 ms,2.38 s,4.44 s
2023-04-18 14:48:25,243 ms,2.38 s,4.44 s
2023-04-18 14:48:30,243 ms,2.38 s,4.44 s
2023-04-18 14:48:35,260 ms,2.12 s,3.87 s
2023-04-18 14:48:40,259 ms,2.03 s,3.88 s
2023-04-18 14:48:45,259 ms,2.07 s,3.92 s
2023-04-18 14:48:50,260 ms,2.03 s,3.88 s
2023-04-18 14:48:55,271 ms,2.05 s,3.90 s
2023-04-18 14:49:00,223 ms,2.05 s,3.90 s
2023-04-18 14:49:05,227 ms,2.45 s,4.46 s
2023-04-18 14:49:10,242 ms,3.59 s,4.72 s
2023-04-18 14:49:15,275 ms,3.66 s,4.73 s
2023-04-18 14:49:20,344 ms,3.66 s,4.73 s
2023-04-18 14:49:25,325 ms,3.59 s,4.72 s
2023-04-18 14:49:30,300 ms,3.90 s,4.78 s
2023-04-18 14:49:35,292 ms,3.87 s,4.78 s
2023-04-18 14:49:40,344 ms,3.87 s,4.78 s
2023-04-18 14:49:45,344 ms,3.87 s,4.78 s
2023-04-18 14:49:50,312 ms,3.90 s,4.78 s
2023-04-18 14:49:55,425 ms,3.87 s,4.78 s
2023-04-18 14:50:00,393 ms,3.56 s,4.71 s
2023-04-18 14:50:05,297 ms,2.47 s,4.44 s
2023-04-18 14:50:10,306 ms,3.08 s,4.62 s
2023-04-18 14:50:15,318 ms,3.56 s,4.71 s
2023-04-18 14:50:20,264 ms,3.59 s,4.72 s
2023-04-18 14:50:25,250 ms,3.17 s,4.63 s
2023-04-18 14:50:30,284 ms,3.87 s,4.78 s
2023-04-18 14:50:35,375 ms,3.65 s,4.73 s
2023-04-18 14:50:40,458 ms,4.37 s,4.87 s
2023-04-18 14:50:45,917 ms,4.83 s,8.07 s
2023-04-18 14:50:50,2.62 s,5.50 s,10 s
2023-04-18 14:50:55,2.98 s,6.42 s,9.95 s
2023-04-18 14:51:00,3.21 s,7.25 s,9.89 s
2023-04-18 14:51:05,3.33 s,7.48 s,9.86 s
2023-04-18 14:51:10,3.44 s,7.94 s,10 s
2023-04-18 14:51:15,3.54 s,7.88 s,10 s
2023-04-18 14:51:20,3.61 s,9.02 s,10 s
2023-04-18 14:51:25,3.64 s,8.96 s,10 s
2023-04-18 14:51:30,3.76 s,9.49 s,10 s
2023-04-18 14:51:35,3.77 s,9.42 s,10 s
2023-04-18 14:51:40,3.78 s,9.46 s,10 s
2023-04-18 14:51:45,3.76 s,9.48 s,10 s
2023-04-18 14:51:50,3.77 s,9.55 s,10 s
2023-04-18 14:51:55,3.77 s,9.97 s,10 s
2023-04-18 14:52:00,3.79 s,10 s,10 s
2023-04-18 14:52:05,3.76 s,10 s,10 s
2023-04-18 14:52:10,3.77 s,10 s,10 s
2023-04-18 14:52:15,3.76 s,10 s,10 s
2023-04-18 14:52:20,3.77 s,10 s,10 s
2023-04-18 14:52:25,3.75 s,10 s,10 s
2023-04-18 14:52:30,3.77 s,10 s,10 s
2023-04-18 14:52:35,3.78 s,10 s,10 s
2023-04-18 14:52:40,3.78 s,10 s,10 s
2023-04-18 14:52:45,3.75 s,10 s,10 s
2023-04-18 14:52:50,3.71 s,10 s,10 s
2023-04-18 14:52:55,3.65 s,9.23 s,10 s
2023-04-18 14:53:00,3.58 s,9.02 s,10 s
2023-04-18 14:53:05,3.48 s,8.93 s,10 s
2023-04-18 14:53:10,3.34 s,8.57 s,10 s
2023-04-18 14:53:15,3.20 s,7.58 s,10 s
2023-04-18 14:53:20,2.99 s,7.37 s,10 s
2023-04-18 14:53:25,2.62 s,6.04 s,10 s
2023-04-18 14:53:30,1.90 s,4.99 s,10 s
2023-04-18 14:53:35,1.08 s,4.95 s,10 s
2023-04-18 14:53:40,878 ms,4.75 s,7.87 s
2023-04-18 14:53:45,787 ms,4.66 s,7.97 s
2023-04-18 14:53:50,720 ms,4.24 s,4.85 s
2023-04-18 14:53:55,700 ms,4.29 s,4.86 s
2023-04-18 14:54:00,676 ms,4.18 s,4.84 s
2023-04-18 14:54:05,618 ms,4.17 s,4.83 s
2023-04-18 14:54:10,618 ms,4.11 s,4.82 s
2023-04-18 14:54:15,621 ms,4.09 s,4.82 s
2023-04-18 14:54:20,621 ms,4.09 s,4.82 s
2023-04-18 14:54:25,600 ms,4.00 s,4.80 s
2023-04-18 14:54:30,562 ms,3.91 s,4.78 s
2023-04-18 14:54:35,493 ms,3.77 s,4.75 s
2023-04-18 14:54:40,490 ms,3.86 s,4.77 s
2023-04-18 14:54:45,470 ms,3.83 s,4.77 s
2023-04-18 14:54:50,468 ms,3.75 s,4.75 s
2023-04-18 14:54:55,453 ms,3.68 s,4.74 s
2023-04-18 14:55:00,485 ms,3.96 s,4.79 s
2023-04-18 14:55:05,519 ms,4.03 s,4.81 s
2023-04-18 14:55:10,565 ms,4.24 s,4.97 s
2023-04-18 14:55:15,680 ms,4.40 s,4.98 s
2023-04-18 14:55:20,690 ms,4.45 s,4.98 s
2023-04-18 14:55:25,733 ms,4.47 s,4.98 s
2023-04-18 14:55:30,836 ms,4.52 s,4.98 s
2023-04-18 14:55:35,808 ms,4.50 s,4.98 s
2023-04-18 14:55:40,863 ms,4.49 s,4.98 s
2023-04-18 14:55:45,879 ms,4.49 s,4.98 s
2023-04-18 14:55:50,897 ms,4.47 s,4.98 s
2023-04-18 14:55:55,784 ms,4.34 s,4.97 s
2023-04-18 14:56:00,709 ms,4.27 s,4.97 s
2023-04-18 14:56:05,696 ms,4.20 s,4.84 s
2023-04-18 14:56:10,622 ms,3.98 s,4.80 s
2023-04-18 14:56:15,618 ms,3.93 s,4.79 s
2023-04-18 14:56:20,558 ms,3.86 s,4.77 s
2023-04-18 14:56:25,508 ms,3.51 s,4.70 s
2023-04-18 14:56:30,544 ms,3.16 s,4.63 s
2023-04-18 14:56:35,507 ms,3.35 s,4.67 s
2023-04-18 14:56:40,480 ms,3.36 s,4.67 s
2023-04-18 14:56:45,479 ms,3.66 s,4.73 s
2023-04-18 14:56:50,500 ms,3.64 s,4.73 s
2023-04-18 14:56:55,538 ms,3.54 s,4.71 s
2023-04-18 14:57:00,559 ms,3.52 s,4.71 s
2023-04-18 14:57:05,523 ms,3.51 s,4.70 s
2023-04-18 14:57:10,492 ms,3.22 s,4.64 s
2023-04-18 14:57:15,568 ms,3.36 s,4.67 s
2023-04-18 14:57:20,618 ms,3.66 s,4.73 s
2023-04-18 14:57:25,664 ms,4.05 s,4.96 s
2023-04-18 14:57:30,750 ms,4.43 s,7.05 s
2023-04-18 14:57:35,958 ms,6.06 s,9.21 s
2023-04-18 14:57:40,1.20 s,6.22 s,9.24 s
2023-04-18 14:57:45,1.18 s,6.25 s,9.25 s
2023-04-18 14:57:50,1.08 s,6 s,9.20 s
2023-04-18 14:57:55,1.08 s,6.06 s,9.21 s
2023-04-18 14:58:00,1.13 s,5.97 s,9.19 s
2023-04-18 14:58:05,1.22 s,5.75 s,9.15 s
2023-04-18 14:58:10,1.32 s,5.83 s,9.17 s
2023-04-18 14:58:15,1.39 s,6.61 s,9.32 s
2023-04-18 14:58:20,1.46 s,7.13 s,9.43 s
2023-04-18 14:58:25,1.62 s,7.79 s,9.56 s
2023-04-18 14:58:30,1.51 s,7.40 s,9.79 s
2023-04-18 14:58:35,1.62 s,7.90 s,9.85 s
2023-04-18 14:58:40,1.84 s,8.26 s,9.86 s
2023-04-18 14:58:45,2.11 s,8.58 s,9.90 s
2023-04-18 14:58:50,2.30 s,8.74 s,9.90 s
2023-04-18 14:58:55,2.46 s,8.85 s,9.91 s
2023-04-18 14:59:00,2.49 s,8.89 s,9.91 s
2023-04-18 14:59:05,2.56 s,8.95 s,9.92 s
2023-04-18 14:59:10,2.42 s,8.95 s,9.91 s
2023-04-18 14:59:15,2.44 s,8.90 s,9.91 s
2023-04-18 14:59:20,2.42 s,8.83 s,9.91 s
2023-04-18 14:59:25,2.48 s,8.92 s,9.91 s
2023-04-18 14:59:30,2.48 s,8.84 s,9.91 s
2023-04-18 14:59:35,2.76 s,8.83 s,9.91 s
2023-04-18 14:59:40,2.82 s,8.84 s,9.91 s
2023-04-18 14:59:45,2.63 s,8.84 s,9.91 s
2023-04-18 14:59:50,2.43 s,8.78 s,9.89 s
2023-04-18 14:59:55,2.40 s,8.75 s,9.90 s
2023-04-18 15:00:00,2.40 s,8.65 s,9.89 s
2023-04-18 15:00:05,2.38 s,8.64 s,9.89 s
2023-04-18 15:00:10,2.35 s,8.63 s,9.89 s
2023-04-18 15:00:15,2.41 s,8.96 s,10 s
2023-04-18 15:00:20,2.42 s,8.83 s,10 s
2023-04-18 15:00:25,2.69 s,9.04 s,10 s
2023-04-18 15:00:30,2.79 s,9.50 s,10 s
2023-04-18 15:00:35,2.66 s,9.55 s,10 s
2023-04-18 15:00:40,2.69 s,9.68 s,10 s
2023-04-18 15:00:45,2.86 s,10 s,10 s
2023-04-18 15:00:50,3.06 s,10 s,10 s
2023-04-18 15:00:55,3.13 s,10 s,10 s
2023-04-18 15:01:00,3.23 s,10 s,10 s
2023-04-18 15:01:05,3.14 s,10 s,10 s
2023-04-18 15:01:10,2.66 s,10 s,10 s
2023-04-18 15:01:15,1.84 s,9.56 s,10 s
2023-04-18 15:01:20,422 ms,8.75 s,10 s
2023-04-18 15:01:25,225 ms,2.47 s,7.90 s
2023-04-18 15:01:30,219 ms,2.18 s,3.97 s
2023-04-18 15:01:35,250 ms,2.20 s,4.00 s
2023-04-18 15:01:40,281 ms,2.48 s,4.49 s
2023-04-18 15:01:45,243 ms,2.47 s,4.49 s
2023-04-18 15:01:50,261 ms,2.48 s,4.49 s
2023-04-18 15:01:55,242 ms,1.71 s,3.97 s
2023-04-18 15:02:00,223 ms,1.75 s,4.00 s
2023-04-18 15:02:05,216 ms,1.97 s,3.97 s
2023-04-18 15:02:10,233 ms,2.50 s,4.50 s
2023-04-18 15:02:15,250 ms,3.33 s,4.67 s
2023-04-18 15:02:20,273 ms,3.33 s,4.67 s
2023-04-18 15:02:25,307 ms,3.29 s,4.66 s
2023-04-18 15:02:30,312 ms,3.69 s,4.74 s
2023-04-18 15:02:35,295 ms,3.75 s,4.75 s
2023-04-18 15:02:40,333 ms,4 s,4.80 s
2023-04-18 15:02:45,327 ms,4.17 s,4.83 s
2023-04-18 15:02:50,354 ms,4.17 s,4.83 s
2023-04-18 15:02:55,365 ms,4.15 s,4.83 s
2023-04-18 15:03:00,385 ms,4.15 s,4.83 s
2023-04-18 15:03:05,385 ms,4.12 s,4.82 s
2023-04-18 15:03:10,365 ms,3.95 s,4.79 s
2023-04-18 15:03:15,365 ms,3.97 s,4.79 s
2023-04-18 15:03:20,375 ms,4.15 s,4.83 s
2023-04-18 15:03:25,347 ms,3.97 s,4.79 s
2023-04-18 15:03:30,341 ms,3.69 s,4.74 s
2023-04-18 15:03:35,312 ms,3.29 s,4.66 s
2023-04-18 15:03:40,306 ms,3.25 s,4.65 s
2023-04-18 15:03:45,278 ms,3.25 s,4.65 s
2023-04-18 15:03:50,318 ms,3.25 s,4.65 s
2023-04-18 15:03:55,284 ms,3.29 s,4.66 s
2023-04-18 15:04:00,262 ms,2.48 s,4.49 s
2023-04-18 15:04:05,287 ms,2.49 s,4.49 s
2023-04-18 15:04:10,262 ms,2.48 s,4.49 s
2023-04-18 15:04:15,242 ms,2.48 s,4.49 s
2023-04-18 15:04:20,284 ms,3.29 s,4.66 s
2023-04-18 15:04:25,278 ms,3.33 s,4.67 s
2023-04-18 15:04:30,312 ms,3.66 s,4.73 s
2023-04-18 15:04:35,295 ms,3.25 s,4.65 s
2023-04-18 15:04:40,312 ms,3.29 s,4.66 s
2023-04-18 15:04:45,306 ms,3.25 s,4.65 s
2023-04-18 15:04:50,344 ms,3.21 s,4.64 s
2023-04-18 15:04:55,333 ms,3.25 s,4.65 s
2023-04-18 15:05:00,352 ms,3.21 s,4.64 s
2023-04-18 15:05:05,354 ms,3.17 s,4.63 s
2023-04-18 15:05:10,365 ms,2.47 s,4.46 s
2023-04-18 15:05:15,339 ms,2.27 s,3.90 s
2023-04-18 15:05:20,342 ms,2.45 s,4.44 s
2023-04-18 15:05:25,328 ms,2.24 s,3.90 s
2023-04-18 15:05:30,336 ms,2.25 s,3.92 s
2023-04-18 15:05:35,324 ms,2.20 s,3.90 s
2023-04-18 15:05:40,331 ms,2.21 s,3.92 s
2023-04-18 15:05:45,338 ms,2.24 s,3.90 s
2023-04-18 15:05:50,353 ms,2.24 s,3.90 s
2023-04-18 15:05:55,353 ms,2.44 s,4.45 s
2023-04-18 15:06:00,375 ms,2.45 s,4.45 s
2023-04-18 15:06:05,352 ms,2.44 s,4.44 s
2023-04-18 15:06:10,333 ms,2.44 s,4.45 s
2023-04-18 15:06:15,308 ms,2.14 s,3.90 s
2023-04-18 15:06:20,284 ms,2.15 s,3.92 s
2023-04-18 15:06:25,287 ms,2.23 s,3.88 s
2023-04-18 15:06:30,264 ms,2.44 s,4.44 s
2023-04-18 15:06:35,250 ms,3.17 s,4.63 s
2023-04-18 15:06:40,237 ms,3.17 s,4.63 s
2023-04-18 15:06:45,233 ms,3.12 s,4.63 s
2023-04-18 15:06:50,218 ms,2.42 s,4.45 s
2023-04-18 15:06:55,212 ms,2.44 s,4.46 s
2023-04-18 15:07:00,237 ms,2.44 s,4.45 s
2023-04-18 15:07:05,244 ms,2.43 s,4.44 s
2023-04-18 15:07:10,275 ms,2.44 s,4.45 s
2023-04-18 15:07:15,307 ms,2.44 s,4.44 s
2023-04-18 15:07:20,300 ms,3.17 s,4.63 s
2023-04-18 15:07:25,307 ms,3.13 s,4.63 s
2023-04-18 15:07:30,295 ms,2.41 s,4.43 s
2023-04-18 15:07:35,261 ms,2.41 s,4.44 s
2023-04-18 15:07:40,260 ms,2.88 s,4.57 s
2023-04-18 15:07:45,346 ms,3.40 s,4.68 s
2023-04-18 15:07:50,367 ms,3.30 s,4.66 s
2023-04-18 15:07:55,462 ms,4.22 s,6.20 s
2023-04-18 15:08:00,643 ms,4.70 s,8.57 s
2023-04-18 15:08:05,1.05 s,4.65 s,8.40 s
2023-04-18 15:08:10,1.20 s,4.98 s,8.98 s
2023-04-18 15:08:15,1.36 s,6.07 s,9.21 s
2023-04-18 15:08:20,1.56 s,7.36 s,9.47 s
2023-04-18 15:08:25,1.76 s,7.73 s,9.55 s
2023-04-18 15:08:30,1.75 s,7.73 s,9.55 s
2023-04-18 15:08:35,1.72 s,7.84 s,9.57 s
2023-04-18 15:08:40,1.86 s,7.88 s,9.58 s
2023-04-18 15:08:45,1.83 s,7.75 s,9.55 s
2023-04-18 15:08:50,1.63 s,7.66 s,9.53 s
2023-04-18 15:08:55,1.53 s,7.34 s,9.47 s
2023-04-18 15:09:00,1.55 s,7.36 s,9.47 s
2023-04-18 15:09:05,1.36 s,6.75 s,9.35 s
2023-04-18 15:09:10,1.17 s,6.15 s,9.23 s
2023-04-18 15:09:15,1.02 s,4.82 s,8.69 s
2023-04-18 15:09:20,921 ms,4.43 s,7.63 s
2023-04-18 15:09:25,1 s,4.42 s,6.45 s
2023-04-18 15:09:30,1.27 s,4.50 s,6.43 s
2023-04-18 15:09:35,1.32 s,4.88 s,8.81 s
2023-04-18 15:09:40,1.50 s,6.14 s,9.23 s
2023-04-18 15:09:45,1.71 s,7.15 s,9.43 s
2023-04-18 15:09:50,1.75 s,7.19 s,9.44 s
2023-04-18 15:09:55,1.58 s,7.10 s,9.42 s
2023-04-18 15:10:00,1.63 s,7.23 s,9.45 s
2023-04-18 15:10:05,1.71 s,7.19 s,9.44 s
2023-04-18 15:10:10,1.78 s,7.46 s,9.49 s
2023-04-18 15:10:15,1.76 s,7.50 s,9.50 s
2023-04-18 15:10:20,1.71 s,7.73 s,9.55 s
2023-04-18 15:10:25,1.53 s,7.68 s,9.54 s
2023-04-18 15:10:30,1.35 s,7.02 s,9.40 s
2023-04-18 15:10:35,1.18 s,5.94 s,9.19 s
2023-04-18 15:10:40,1.02 s,4.74 s,8.51 s
2023-04-18 15:10:45,974 ms,4.78 s,8.58 s
2023-04-18 15:10:50,1.03 s,4.84 s,8.66 s
2023-04-18 15:10:55,1.08 s,4.86 s,8.69 s
2023-04-18 15:11:00,898 ms,4.88 s,8.74 s
